CLAUSE_ID,NUMBER,TEXT_VN,TEXT_EN,TEXT_JP
C0018,13,"Kiểu dáng công nghiệp là hình dáng bên ngoài của sản phẩm được thể hiện bằng hình khối, đường nét, màu sắc hoặc sự kết hợp những yếu tố này.","Industrial design is the external appearance of a product expressed in shapes, lines, colors or combinations of these elements.",工業デザインとは、形、線、色、またはこれらの要素の組み合わせで表現された製品の外観のことです。
C0019,14,"Mạch tích hợp bán dẫn là sản phẩm dưới dạng thành phẩm hoặc bán thành phẩm, trong đó các phần tử với ít nhất một phần tử tích cực và một số hoặc tất cả các mối liên kết được gắn liền bên trong hoặc bên trên tấm vật liệu bán dẫn nhằm thực hiện chức năng điện tử. Mạch tích hợp đồng nghĩa với IC, chip và mạch vi điện tử.","A semiconductor integrated circuit is a finished or semi-finished product in which the elements, at least one of which is an active element, and some or all of the interconnections are integrally formed in or on a semiconductor material to perform an electronic function. Integrated circuit is synonymous with IC, chip, and microelectronic circuit.",半導体集積回路とは、電子機能を実行するために、少なくとも1つの能動素子を含む素子と、一部またはすべての相互接続が半導体材料内または上に一体的に形成された完成品または半完成品です。集積回路は、IC、チップ、マイクロエレクトロニクス回路と同義です。
C0020,15,Thiết kế bố trí mạch tích hợp bán dẫn (sau đây gọi là thiết kế bố trí) là cấu trúc không gian của các phần tử mạch và mối liên kết các phần tử đó trong mạch tích hợp bán dẫn.,Semiconductor integrated circuit layout design (hereinafter referred to as layout design) is the spatial structure of circuit elements and interconnections of those elements in a semiconductor integrated circuit.,半導体集積回路のレイアウト設計（以下、レイアウト設計という）とは、半導体集積回路における回路素子の空間構造とそれらの素子間の接続のことを指す。
C0021,16,"Nhãn hiệu là dấu hiệu dùng để phân biệt hàng hoá, dịch vụ của các tổ chức, cá nhân khác nhau.",A trademark is a sign used to distinguish goods and services of different organizations and individuals.,商標とは、異なる組織や個人の商品やサービスを区別するために使用される標識です。
C0022,17,"Nhãn hiệu tập thể là nhãn hiệu dùng để phân biệt hàng hoá, dịch vụ của các thành viên của tổ chức là chủ sở hữu nhãn hiệu đó với hàng hoá, dịch vụ của tổ chức, cá nhân không phải là thành viên của tổ chức đó.",A collective trademark is a trademark used to distinguish the goods and services of members of the organization that owns the trademark from the goods and services of organizations and individuals that are not members of that organization.,団体商標とは、商標を所有する組織の構成員の商品やサービスを、その組織に所属していない組織や個人の商品やサービスと区別するために用いられる商標です。
C0023,18,"Nhãn hiệu chứng nhận là nhãn hiệu mà chủ sở hữu nhãn hiệu cho phép tổ chức, cá nhân khác sử dụng trên hàng hóa, dịch vụ của tổ chức, cá nhân đó để chứng nhận các đặc tính về xuất xứ, nguyên liệu, vật liệu, cách thức sản xuất hàng hoá, cách thức cung cấp dịch vụ, chất lượng, độ chính xác, độ an toàn hoặc các đặc tính khác của hàng hoá, dịch vụ mang nhãn hiệu.","A certification trademark is a trademark that the trademark owner allows another organization or individual to use on the goods or services of that organization or individual to certify the characteristics of origin, raw materials, materials, method of production of goods, method of service provision, quality, accuracy, safety or other characteristics of the goods or services bearing the trademark.",証明商標とは、商標権者が他の組織または個人に対し、その組織または個人の商品またはサービスについて、その商標が付されている商品またはサービスの産地、原材料、材質、商品の製造方法、サービスの提供方法、品質、正確性、安全性などの特性を証明するために、その組織または個人の商品またはサービスに使用することを許可した商標です。
C0024,19,"Nhãn hiệu liên kết là các nhãn hiệu do cùng một chủ thể đăng ký, trùng hoặc tương tự nhau dùng cho sản phẩm, dịch vụ cùng loại hoặc tương tự nhau hoặc có liên quan với nhau.","Associated trademarks are trademarks registered by the same entity, identical or similar, used for products or services of the same type or similar or related to each other.",関連商標とは、同じ事業体によって登録された商標であり、同一または類似であり、同じ種類または類似の、あるいは相互に関連する製品またはサービスに使用されます。
C0025,20,Nhãn hiệu nổi tiếng là nhãn hiệu được người tiêu dùng biết đến rộng rãi trên toàn lãnh thổ Việt Nam.,A famous trademark is a trademark widely known by consumers throughout Vietnam.,有名商標とは、ベトナム全土の消費者に広く知られている商標です。
C0026,21,"Tên thương mại là tên gọi của tổ chức, cá nhân dùng trong hoạt động kinh doanh để phân biệt chủ thể kinh doanh mang tên gọi đó với chủ thể kinh doanh khác trong cùng lĩnh vực và khu vực kinh doanh.",A trade name is the name of an organization or individual used in business activities to distinguish the business entity bearing that name from other business entities in the same business field and area.,商号とは、その名称を冠する事業体を、同じ事業分野・地域にある他の事業体と区別するために、事業活動において使用される組織または個人の名称です。
C0027,22,"Chỉ dẫn địa lý là dấu hiệu dùng để chỉ sản phẩm có nguồn gốc từ khu vực, địa phương, vùng lãnh thổ hay quốc gia cụ thể.","A geographical indication is a sign used to indicate a product originating from a specific region, locality, territory or country.",地理的表示とは、特定の地域、地方、領土、または国を原産とする製品を示すために使用される標識です。
C0028,23,"Bí mật kinh doanh là thông tin thu được từ hoạt động đầu tư tài chính, trí tuệ, chưa được bộc lộ và có khả năng sử dụng trong kinh doanh.","Trade secrets are information obtained from financial and intellectual investment activities, which have not been disclosed and are capable of being used in business.",営業秘密とは、金融活動や知的投資活動から得られた情報であり、公開されておらず、事業に利用できるものを指します。
C0029,24,"Giống cây trồng là quần thể cây trồng thuộc cùng một cấp phân loại thực vật thấp nhất, đồng nhất về hình thái, ổn định qua các chu kỳ nhân giống, có thể nhận biết được bằng sự biểu hiện các tính trạng do kiểu gen hoặc sự phối hợp của các kiểu gen quy định và phân biệt được với bất kỳ quần thể cây trồng nào khác bằng sự biểu hiện của ít nhất một tính trạng có khả năng di truyền được.","A plant variety is a population of plants belonging to the same lowest plant taxonomic level, uniform in morphology, stable through breeding cycles, identifiable by the expression of traits determined by genotype or combination of genotypes, and distinguishable from any other plant population by the expression of at least one heritable trait.",植物品種とは、同じ最低の植物分類レベルに属し、形態が均一で、育種サイクルを通じて安定しており、遺伝子型または遺伝子型の組み合わせによって決定される形質の発現によって識別可能であり、少なくとも 1 つの遺伝形質の発現によって他の植物集団と区別できる植物の集団です。
C0030,25,"Văn bằng bảo hộ là văn bản do cơ quan nhà nước có thẩm quyền cấp cho tổ chức, cá nhân nhằm xác lập quyền sở hữu công nghiệp đối với sáng chế, kiểu dáng công nghiệp, thiết kế bố trí, nhãn hiệu, chỉ dẫn địa lý; quyền đối với giống cây trồng.","A protection certificate is a document issued by a competent state agency to an organization or individual to establish industrial property rights to inventions, industrial designs, layout designs, trademarks, geographical indications; and rights to plant varieties.",保護証明書とは、発明、工業デザイン、レイアウト設計、商標、地理的表示、および植物品種の権利に対する工業所有権を確立するために、管轄の国家機関が組織または個人に発行する文書です。
C0031,1,Trong trường hợp có những vấn đề dân sự liên quan đến sở hữu trí tuệ không được quy định trong Luật này thì áp dụng quy định của Bộ luật dân sự.,"In case there are civil issues related to intellectual property not regulated in this Law, the provisions of the Civil Code shall apply.",本法に規定されていない知的財産に関する民事問題が発生した場合には、民法の規定が適用される。
C0032,2,Trong trường hợp có sự khác nhau giữa quy định về sở hữu trí tuệ của Luật này với quy định của luật khác thì áp dụng quy định của Luật này.,"In case of any discrepancy between the provisions on intellectual property of this Law and the provisions of other laws, the provisions of this Law shall apply.",本法の知的財産に関する規定と他の法律の規定との間に矛盾がある場合には、本法の規定が適用される。
C0033,3,Trong trường hợp điều ước quốc tế mà Cộng hoà xã hội chủ nghĩa Việt Nam là thành viên có quy định khác với quy định của Luật này thì áp dụng quy định của điều ước quốc tế đó.,"In case an international treaty to which the Socialist Republic of Vietnam is a member has provisions different from those of this Law, the provisions of that international treaty shall apply.",ベトナム社会主義共和国が加盟している国際条約に本法と異なる規定がある場合には、当該国際条約の規定が適用される。
C0034,1,"Quyền tác giả phát sinh kể từ khi tác phẩm được sáng tạo và được thể hiện d­ưới một hình thức vật chất nhất định, không phân biệt nội dung, chất l­ượng, hình thức, phương tiện, ngôn ngữ, đã công bố hay ch­ưa công bố, đã đăng ký hay ch­ưa đăng ký.","Copyright arises from the moment a work is created and expressed in a certain material form, regardless of content, quality, form, means, language, whether published or unpublished, registered or unregistered.",著作権は、内容、品質、形式、手段、言語、出版済みか未出版か、登録済みか未登録かに関係なく、作品が特定の物質的形式で作成され表現された瞬間から発生します。
C0035,2,"Quyền liên quan phát sinh kể từ khi cuộc biểu diễn, bản ghi âm, ghi hình, chương trình phát sóng, tín hiệu vệ tinh mang chư­ơng trình được mã hoá được định hình hoặc thực hiện mà không gây ph­ương hại đến quyền tác giả.","Related rights arise from the moment a performance, phonogram, video recording, broadcast or encrypted program-carrying satellite signal is fixed or made without prejudice to copyright.",関連する権利は、著作権を損なうことなく、実演、レコード、ビデオ録画、放送、または暗号化された番組を運ぶ衛星信号が固定または作成された瞬間から発生します。
C0036,3,"Quyền sở hữu công nghiệp được xác lập như sau:
a) Quyền sở hữu công nghiệp đối với sáng chế, kiểu dáng công nghiệp, thiết kế bố trí, nhãn hiệu, chỉ dẫn địa lý được xác lập trên cơ sở quyết định cấp văn bằng bảo hộ của cơ quan nhà nước có thẩm quyền theo thủ tục đăng ký quy định tại Luật này hoặc công nhận đăng ký quốc tế theo quy định của điều ước quốc tế mà Cộng hoà xã hội chủ nghĩa Việt Nam là thành viên; đối với nhãn hiệu nổi tiếng, quyền sở hữu được xác lập trên cơ sở sử dụng, không phụ thuộc vào thủ tục đăng ký;
b) Quyền sở hữu công nghiệp đối với tên thương mại được xác lập trên cơ sở sử dụng hợp pháp tên thương mại đó;
c) Quyền sở hữu công nghiệp đối với bí mật kinh doanh được xác lập trên cơ sở có được một cách hợp pháp bí mật kinh doanh và thực hiện việc bảo mật bí mật kinh doanh đó;
d) Quyền chống cạnh tranh không lành mạnh được xác lập trên cơ sở hoạt động cạnh tranh trong kinh doanh.","Industrial property rights are established as follows:
a) Industrial property rights to inventions, industrial designs, layout designs, trademarks, and geographical indications are established on the basis of a decision to grant a protection certificate by a competent state agency in accordance with the registration procedures prescribed in this Law or recognition of international registration in accordance with the provisions of an international treaty to which the Socialist Republic of Vietnam is a member; for famous trademarks, ownership rights are established on the basis of use, regardless of the registration procedures;
b) Industrial property rights to trade names are established on the basis of legal use of such trade names;
c) Industrial property rights to trade secrets are established on the basis of legally obtaining trade secrets and keeping such trade secrets confidential;
d) The right to combat unfair competition is established on the basis of competitive activities in business.","工業所有権は、以下のとおり確立される。
a) 発明、意匠、回路配置、商標及び地理的表示に関する工業所有権は、本法に定める登録手続に従い、管轄当局による保護証書の交付決定、又はベトナム社会主義共和国が加盟する国際条約の規定に基づく国際登録の承認に基づいて確立される。著名商標については、登録手続に関わらず、使用に基づいて所有権が確立される。
b) 商号に関する工業所有権は、当該商号の適法な使用に基づいて確立される。
c) 営業秘密に関する工業所有権は、営業秘密を適法に取得し、秘密に保持していることに基づいて確立される。
d) 不正競争防止権は、事業における競争行為に基づいて確立される。"
C0037,4,Quyền đối với giống cây trồng được xác lập trên cơ sở quyết định cấp Bằng bảo hộ giống cây trồng của cơ quan nhà nước có thẩm quyền theo thủ tục đăng ký quy định tại Luật này.,Rights to plant varieties are established on the basis of the decision to grant a Plant Variety Protection Certificate by a competent state agency according to the registration procedures prescribed in this Law.,植物品種に対する権利は、本法律に規定された登録手続きに従い、管轄の国家機関が植物品種保護証明書を付与する決定を下すことによって確立されます。
C0038,1,Chủ thể quyền sở hữu trí tuệ chỉ được thực hiện quyền của mình trong phạm vi và thời hạn bảo hộ theo quy định của Luật này.,Intellectual property rights holders may only exercise their rights within the scope and duration of protection prescribed by this Law.,知的財産権者は、本法律で規定された保護の範囲と期間内でのみその権利を行使することができます。
C0039,2,"Việc thực hiện quyền sở hữu trí tuệ không được xâm phạm lợi ích của Nhà nước, lợi ích công cộng, quyền và lợi ích hợp pháp của tổ chức, cá nhân khác và không được vi phạm các quy định khác của pháp luật có liên quan.","The exercise of intellectual property rights must not infringe upon the interests of the State, public interests, the legitimate rights and interests of other organizations and individuals, and must not violate other relevant provisions of law.",知的財産権の行使は、国家の利益、公共の利益、その他の組織および個人の合法的な権利と利益を侵害してはならず、その他の関連法律規定に違反してはならない。
C0040,3,"Trong trường hợp nhằm bảo đảm mục tiêu quốc phòng, an ninh, dân sinh và các lợi ích khác của Nhà nước, xã hội quy định tại Luật này, Nhà nước có quyền cấm hoặc hạn chế chủ thể quyền sở hữu trí tuệ thực hiện quyền của mình hoặc buộc chủ thể quyền sở hữu trí tuệ phải cho phép tổ chức, cá nhân khác sử dụng một hoặc một số quyền của mình với những điều kiện phù hợp.","In cases where it is necessary to ensure national defense, security, people's livelihood and other interests of the State and society as prescribed in this Law, the State has the right to prohibit or restrict intellectual property rights holders from exercising their rights or force intellectual property rights holders to allow other organizations and individuals to use one or several of their rights under appropriate conditions.",国は、本法に規定する国防、安全、人民生活及びその他の国家及び社会の利益を保障するために必要な場合、知的財産権保有者がその権利を行使することを禁止し、若しくは制限し、又は知的財産権保有者に対し、適切な条件の下でその権利の1つ又は複数を他の組織及び個人が使用することを許可するよう強制する権利を有する。
C0041,1,"Công nhận và bảo hộ quyền sở hữu trí tuệ của tổ chức, cá nhân trên cơ sở bảo đảm hài hoà lợi ích của chủ thể quyền sở hữu trí tuệ với lợi ích công cộng; không bảo hộ các đối tượng sở hữu trí tuệ trái với đạo đức xã hội, trật tự công cộng, có hại cho quốc phòng, an ninh.","Recognize and protect intellectual property rights of organizations and individuals on the basis of ensuring harmony between the interests of intellectual property owners and public interests; do not protect intellectual property objects that are contrary to social ethics, public order, or harmful to national defense and security.",知的財産権者の利益と公共の利益との調和を確保することを基本として、組織および個人の知的財産権を承認および保護します。社会倫理、公共秩序に反し、または国防および安全に危害を及ぼす知的財産対象を保護しません。
C0042,2,"Khuyến khích, thúc đẩy hoạt động sáng tạo, khai thác tài sản trí tuệ nhằm góp phần phát triển kinh tế - xã hội, nâng cao đời sống vật chất và tinh thần của nhân dân.",Encourage and promote creative activities and exploit intellectual property to contribute to socio-economic development and improve people's material and spiritual life.,創造的な活動を奨励・促進し、知的財産を活用して社会経済の発展に貢献し、人々の物質的・精神的生活を向上させます。
C0043,3,"Hỗ trợ tài chính cho việc nhận chuyển giao, khai thác quyền sở hữu trí tuệ phục vụ lợi ích công cộng; khuyến khích tổ chức, cá nhân trong nước và nước ngoài tài trợ cho hoạt động sáng tạo và bảo hộ quyền sở hữu trí tuệ.",Provide financial support for the transfer and exploitation of intellectual property rights to serve public interests; encourage domestic and foreign organizations and individuals to sponsor creative activities and protect intellectual property rights.,公共の利益のために知的財産権の譲渡と活用を財政的に支援し、国内外の組織や個人が創造的な活動を後援し、知的財産権を保護することを奨励します。
C0044,4,"Ưu tiên đầu tư cho việc đào tạo, bồi dưỡng đội ngũ cán bộ, công chức, viên chức, các đối tượng liên quan làm công tác bảo hộ quyền sở hữu trí tuệ và nghiên cứu, ứng dụng khoa học - kỹ thuật về bảo hộ quyền sở hữu trí tuệ.","Prioritize investment in training and fostering cadres, civil servants, public employees, and related subjects working in intellectual property protection and research and application of science and technology on intellectual property protection.",知的財産保護に携わる幹部、公務員、公務員、関連分野の人材の育成、知的財産保護に関する科学技術の研究・応用への投資を優先する。
C0045,0,"Tổ chức, cá nhân có quyền áp dụng các biện pháp mà pháp luật cho phép để tự bảo vệ quyền sở hữu trí tuệ của mình và có trách nhiệm tôn trọng quyền sở hữu trí tuệ của tổ chức, cá nhân khác theo quy định của Luật này và các quy định khác của pháp luật có liên quan.",Organizations and individuals have the right to apply measures permitted by law to protect their intellectual property rights and are responsible for respecting the intellectual property rights of other organizations and individuals according to the provisions of this Law and other relevant legal provisions.,組織および個人は、自らの知的財産権を保護するために法律で認められた措置を適用する権利を有し、本法およびその他の関連法律の規定に従って他の組織および個人の知的財産権を尊重する責任を負います。
C0046,1,"Xây dựng, chỉ đạo thực hiện chiến lược, chính sách bảo hộ quyền sở hữu trí tuệ.",Develop and direct the implementation of strategies and policies for intellectual property protection.,知的財産保護に関する戦略とポリシーの策定および実施の指揮を行います。
C0047,2,Ban hành và tổ chức thực hiện các văn bản pháp luật về sở hữu trí tuệ.,Promulgate and organize the implementation of legal documents on intellectual property.,知的財産に関する法律文書の公布および実施の組織化。
C0048,3,"Tổ chức bộ máy quản lý về sở hữu trí tuệ; đào tạo, bồi dưỡng cán bộ về sở hữu trí tuệ.",Organize intellectual property management apparatus; train and foster intellectual property staff.,知的財産管理体制を整備し、知的財産スタッフの研修・育成を行う。
C0049,4,"Cấp và thực hiện các thủ tục khác liên quan đến Giấy chứng nhận đăng ký quyền tác giả, Giấy chứng nhận đăng ký quyền liên quan, văn bằng bảo hộ các đối tượng sở hữu công nghiệp, Bằng bảo hộ giống cây trồng.","Grant and carry out other procedures related to Copyright Registration Certificates, Related Rights Registration Certificates, Industrial Property Protection Certificates, and Plant Variety Protection Certificates.",著作権登録証、著作隣接権登録証、産業財産保護証、植物品種保護証の交付及びその他関連手続を行うこと。
C0050,5,"Thanh tra, kiểm tra việc chấp hành pháp luật về sở hữu trí tuệ; giải quyết khiếu nại, tố cáo và xử lý vi phạm pháp luật về sở hữu trí tuệ.",Inspect and examine compliance with intellectual property laws; resolve complaints and denunciations and handle violations of intellectual property laws.,知的財産法の遵守状況を検査および調査し、苦情や告発を解決し、知的財産法の違反に対処します。
C0051,6,"Tổ chức hoạt động thông tin, thống kê về sở hữu trí tuệ.",Organize information and statistical activities on intellectual property.,知的財産に関する情報および統計活動を組織します。
C0052,7,"Tổ chức, quản lý hoạt động giám định về sở hữu trí tuệ.",Organize and manage intellectual property appraisal activities.,知的財産評価活動を組織し、管理します。
C0053,8,"Giáo dục, tuyên truyền, phổ biến kiến thức, pháp luật về sở hữu trí tuệ.","Education, propaganda, dissemination of knowledge and laws on intellectual property.",知的財産に関する教育、宣伝、知識および法律の普及。
C0054,9,Hợp tác quốc tế về sở hữu trí tuệ.,International cooperation on intellectual property.,知的財産に関する国際協力。
C0055,1,Chính phủ thống nhất quản lý nhà nước về sở hữu trí tuệ.,The Government unifies state management of intellectual property.,政府は知的財産の国家管理を統一します。
C0056,2,"Bộ Khoa học và Công nghệ chịu trách nhiệm trước Chính phủ chủ trì, phối hợp với Bộ Văn hóa - Thông tin, Bộ Nông nghiệp và Phát triển nông thôn thực hiện quản lý nhà nước về sở hữu trí tuệ và thực hiện quản lý nhà nước về quyền sở hữu công nghiệp.
Bộ Văn hóa - Thông tin trong phạm vi nhiệm vụ, quyền hạn của mình thực hiện quản lý nhà nước về quyền tác giả và quyền liên quan.
Bộ Nông nghiệp và Phát triển nông thôn trong phạm vi nhiệm vụ, quyền hạn của mình thực hiện quản lý nhà nước về quyền đối với giống cây trồng.","The Ministry of Science and Technology is responsible to the Government for presiding over and coordinating with the Ministry of Culture and Information and the Ministry of Agriculture and Rural Development to carry out state management of intellectual property and industrial property rights.

The Ministry of Culture and Information, within the scope of its tasks and powers, shall carry out state management of copyright and related rights.

The Ministry of Agriculture and Rural Development, within the scope of its tasks and powers, shall carry out state management of rights to plant varieties.","科学技術省は、政府に対し、知的財産権及び工業所有権の国家管理を行うため、文化情報省及び農業農村開発省を統括し、これらと連携する責任を負う。

文化情報省は、その任務及び権限の範囲内で、著作権及び関連する権利の国家管理を行う。

農業農村開発省は、その任務及び権限の範囲内で、植物品種に関する権利の国家管理を行う。"
C0057,3,"Bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ trong phạm vi nhiệm vụ, quyền hạn của mình có trách nhiệm phối hợp với Bộ Khoa học và Công nghệ, Bộ Văn hóa - Thông tin, Bộ Nông nghiệp và Phát triển nông thôn, Uỷ ban nhân dân tỉnh, thành phố trực thuộc trung ương trong việc quản lý nhà nước về sở hữu trí tuệ.","Ministries, ministerial-level agencies, and government agencies, within the scope of their tasks and powers, are responsible for coordinating with the Ministry of Science and Technology, the Ministry of Culture and Information, the Ministry of Agriculture and Rural Development, and the People's Committees of provinces and centrally run cities in state management of intellectual property.",各省庁、省庁レベルの機関、政府機関は、その任務と権限の範囲内で、科学技術省、文化情報省、農業農村開発省、各省および中央直轄市の人民委員会と連携し、知的財産の国家管理に携わる責任を負います。
